,CENEFA,Longitud,Latitud
17592,110A06,-74.1248,4.647037
17593,055A07,-74.1281,4.648306
17594,344A07,,
17595,093A07,-74.133,4.643927
17596,201A07,-74.135,4.64268
17597,378A07,-74.1364,4.643611
17598,197A07,-74.1384,4.6449620000000005
17599,193A07,-74.1403,4.644781
17600,191A07,-74.1403,4.641605
17601,086A07,-74.1404,4.640934
17602,085A07,-74.1414,4.638914
17603,377A07,-74.1424,4.637188
17604,077A07,-74.1437,4.635754
17605,078A07,-74.1478,4.6330860000000005
17606,197A08,-74.1494,4.628527
17607,189A08,-74.1514,4.626371
17608,191A08,-74.1542,4.623234
17609,149A08,-74.1569,4.624147
17610,126A08,-74.1581,4.622846
17611,129A08,-74.1607,4.620336
17612,131A08,-74.1635,4.61866
17613,133A08,-74.1668,4.616695
17614,341A08,-74.1681,4.617604
17615,177A08,-74.1701,4.617972
17616,175A08,-74.1723,4.616353
17617,312A08,-74.1738,4.615699
17618,311A08,-74.1747,4.616853
17619,324A08,-74.1756,4.618529
17620,325A08,-74.1769,4.620287
17621,326A08,-74.1779,4.621702
17622,328A08,-74.1774,4.622879
17623,330A08,-74.1797,4.625294
17624,334A08,-74.1808,4.626602
17625,526A08,-74.1839,4.625679
17626,284A08,-74.186,4.627771
17627,102A08,-74.189,4.627032
17628,104A08,-74.191,4.626245
17629,250A08,-74.192,4.62757
17630,251A08,-74.1924,4.629048
17631,281A09,-74.1947,4.628924
17632,277A09,-74.1957,4.62903
17633,275A09,-74.1968,4.630853
17634,288A08,-74.1986,4.634279
17635,287A08,-74.1997,4.634915
17636,237A08,-74.2009,4.634289
17637,224A08,-74.2026,4.632322
17638,671A08,,
17639,643A08,-74.206,4.6300089999999985
17640,534A09,-74.2057,4.629812
17641,534B09,-74.205,4.630163
17642,253B09,-74.2039,4.631426
17643,223A08,-74.2022,4.632421
17644,236A08,-74.2007,4.634311
17645,286A08,-74.1998,4.634767
17646,285A08,-74.1984,4.633634
17647,274B09,,
17648,276B09,,
17649,279A09,-74.1947,4.628818
17650,031B09,,
17651,493A09,-74.1925,4.628995
17652,280A09,-74.1921,4.627582
17653,105A08,-74.1911,4.626143
17654,103A08,-74.1892,4.626849
17655,101A08,-74.1869,4.627827
17656,283A08,-74.1859,4.6275330000000015
17657,524A08,-74.1838,4.625558
17658,333A08,-74.1809,4.6265410000000005
17659,329A08,-74.1797,4.62513
17660,020A08,-74.1756,4.62627
17661,022A08,-74.1721,4.62769
17662,354A08,-74.1701,4.627174
17663,033A08,-74.1691,4.625081
17664,164A08,-74.1669,4.622261
17665,163A08,-74.1649,4.618921
17666,130A08,-74.1646,4.617891
17667,128A08,-74.1615,4.619693
17668,127A08,-74.1588,4.621907
17669,150A08,-74.1567,4.624149
